id,kingdom,phylum,class,order,family,genus,scientific_name,taxonomic_authority,infra_rank,infra_name,category,common_name
34265,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,PRUNUS,PRUNUS GRISEA VAR. TOMENTOSA,(K. AND V.) KALKM.,VAR.,TOMENTOSA,VU,NULL
34266,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,PRUNUS,PRUNUS PULGARENSIS,(ELMER) KALKM.,NULL,NULL,EN,NULL
34268,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,POLYSCIAS,POLYSCIAS SECHELLARUM VAR. CURIOSAE,F.FRIEDMANN,VAR.,CURIOSAE,CR,NULL
34269,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,POLYSCIAS,POLYSCIAS SECHELLARUM VAR. CONTRACTA,F.FRIEDMANN,VAR.,CONTRACTA,CR,NULL
34271,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PHYLLANTHACEAE,CLEISTANTHUS,CLEISTANTHUS COLLINUS,(ROXB.) HOOK. F.,NULL,NULL,VU,NULL
34272,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,CINNAMOMUM,CINNAMOMUM LITSEIFOLIUM,THW.,NULL,NULL,VU,NULL
34273,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,SENEGALIA,SENEGALIA FERRUGINEA,(DC.) PEDLEY,NULL,NULL,VU,NULL
34274,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,MORACEAE,FICUS,FICUS REFLEXA SUBSP. SECHELLENSIS,(BAKER) C.C.BERG,SUBSP.,SECHELLENSIS,VU,NULL
34275,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,HERNANDIACEAE,HERNANDIA,HERNANDIA STOKESII,(F.BROWN) KUBITZKI,NULL,NULL,VU,NULL
34276,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,SANTALACEAE,SANTALUM,SANTALUM INSULARE VAR. HENDERSONENSIS,(F.BROWN) FOSBERG AND SACHET,VAR.,HENDERSONENSIS,VU,NULL
34277,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,ALLOPHYLUS,ALLOPHYLUS RHOMBOIDALIS,(NADEAUD) RADLK.,NULL,NULL,LR/LC,NULL
34278,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,SALICACEAE,HOMALIUM,HOMALIUM TAYPAU,H.ST.JOHN,NULL,NULL,VU,TAYPAU
34279,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,SALICACEAE,XYLOSMA,XYLOSMA SUAVEOLENS SUBSP. HAROLDII,SLUEMER,SUBSP.,HAROLDII,EN,NULL
34281,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CARYOCARACEAE,ANTHODISCUS,ANTHODISCUS CHOCOENSIS,PRANCE,NULL,NULL,EN,AJO NEGRO
34282,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,SCHIMA,SCHIMA WALLICHII VAR. PULGARENSIS,(KORTH.) BLOEMBERGEN(ELM.) BLOEMBERGEN,VAR.,PULGARENSIS,VU,NULL
34283,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,ACTINODAPHNE,ACTINODAPHNE MALACCENSIS,HK. F.,NULL,NULL,LR/LC,NULL
34284,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,ALSEODAPHNE,ALSEODAPHNE PALUDOSA,GAMBLE,NULL,NULL,VU,NULL
34285,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,OCHNACEAE,BRACKENRIDGEA,BRACKENRIDGEA PALUSTRIS,BARTELL,NULL,NULL,LR/NT,NULL
34286,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,CHISOCHETON,CHISOCHETON PAUCIFLORUS,KING,NULL,NULL,VU,NULL
34287,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,CHISOCHETON,CHISOCHETON TOMENTOSUS,(ROXB.) MABB.,NULL,NULL,LR/LC,NULL
34288,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,VIBURNACEAE,VIBURNUM,VIBURNUM MACULATUM,PANTZ.,NULL,NULL,DD,NULL
34289,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,DURIO,DURIO CARINATUS,MAST.,NULL,NULL,NT,NULL
34290,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,ENDIANDRA,ENDIANDRA MAINGAYI,HOOK.F.,NULL,NULL,LC,NULL
34291,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA GRAMAE-ANDERSONII,RIDL.,NULL,NULL,LR/LC,NULL
34292,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,OCHNACEAE,EUTHEMIS,EUTHEMIS MINOR,JACK,NULL,NULL,LC,NULL
34293,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,HEPTAPLEURUM,HEPTAPLEURUM BECCARIANUM,(HARMS) LOWRY AND G.M.PLUNKETT,NULL,NULL,VU,NULL
34294,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CLUSIACEAE,GARCINIA,GARCINIA AFZELII,ENGL.,NULL,NULL,VU,NULL
